policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value
74,A,Marin,Fire Resistive,Shingle,1986 to 1999,Below 1500,6,$400K to $800K
75,E,Napa,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,10,$1.2M to $1.6M
76,F,Contra Costa,Frame,Tile,1986 to 1999,4000 and Above,6,Less than $400K
77,E,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,8,$1.2M to $1.6M
78,H,Sonoma,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,7,Less than $400K
79,H,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,10,Less than $400K
80,F,San Mateo,Fire Resistive,Shingle,1985 and Before,Below 1500,3,$1.2M to $1.6M
81,D,San Francisco,Fire Resistive,Metal,1986 to 1999,4000 and Above,9,$400K to $800K
82,B,San Mateo,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,6,$800K to $1.2M
83,H,Solano,Frame,Shingle,1985 and Before,Between 3000 and 4000,4,Less than $400K
84,D,Alameda,Frame,Shingle,1986 to 1999,Below 1500,10,Less than $400K
85,I,San Francisco,Fire Resistive,Shingle,2000 and After,4000 and Above,1,$1.6M to $2M
86,F,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,7,$400K to $800K
87,B,Alameda,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M
88,B,Solano,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,7,$800K to $1.2M
89,F,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M
90,B,Alameda,Frame,Shingle,2000 and After,4000 and Above,1,$1.6M to $2M
91,J,Santa Clara,Frame,Tile,1985 and Before,4000 and Above,3,$1.2M to $1.6M
92,H,Santa Clara,Fire Resistive,Wood,1985 and Before,Below 1500,7,$800K to $1.2M
93,C,San Mateo,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,7,$1.2M to $1.6M
94,E,Contra Costa,Fire Resistive,Shingle,1986 to 1999,4000 and Above,6,Less than $400K
95,F,Alameda,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,9,Less than $400K
96,A,San Mateo,Frame,Tile,1986 to 1999,Below 1500,4,$1.2M to $1.6M
97,F,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,10,$1.6M to $2M
98,B,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,6,$800K to $1.2M
99,D,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,1,Less than $400K
100,G,Contra Costa,Frame,Tile,2000 and After,Between 1500 and 3000,7,Less than $400K
101,B,Contra Costa,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M
102,F,San Francisco,Fire Resistive,Metal,2000 and After,4000 and Above,4,$1.6M to $2M
103,G,San Mateo,Frame,Wood,1986 to 1999,4000 and Above,6,$1.2M to $1.6M
104,G,Alameda,Frame,Metal,2000 and After,Between 1500 and 3000,8,$400K to $800K
105,I,San Mateo,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,6,$800K to $1.2M
106,F,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,4,$1.2M to $1.6M
107,E,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Below 1500,8,$400K to $800K
108,I,San Francisco,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,1,$1.2M to $1.6M
109,I,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,10,$1.2M to $1.6M
110,I,Santa Clara,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,2,Less than $400K
111,A,Solano,Frame,Wood,1985 and Before,Between 1500 and 3000,9,$400K to $800K
112,J,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,5,$800K to $1.2M
113,G,Marin,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,7,$1.2M to $1.6M
114,J,Contra Costa,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,7,Less than $400K
115,H,San Francisco,Frame,Tile,2000 and After,Between 1500 and 3000,2,Less than $400K
116,C,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,3,Less than $400K
117,J,San Francisco,Frame,Tile,1985 and Before,Between 3000 and 4000,7,$400K to $800K
118,I,Alameda,Frame,Wood,2000 and After,4000 and Above,7,$400K to $800K
119,I,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,1,$1.6M to $2M
120,J,Solano,Frame,Wood,1985 and Before,Between 3000 and 4000,6,$400K to $800K
121,G,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,1,$1.6M to $2M
122,C,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Below 1500,3,$1.2M to $1.6M
123,G,Alameda,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,5,$800K to $1.2M
124,D,Alameda,Frame,Wood,1985 and Before,Below 1500,8,$400K to $800K
125,B,Santa Clara,Frame,Tile,2000 and After,Between 3000 and 4000,7,Less than $400K
126,E,San Mateo,Fire Resistive,Tile,1986 to 1999,Below 1500,3,$1.6M to $2M
127,B,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,9,$400K to $800K
128,C,Contra Costa,Fire Resistive,Tile,1986 to 1999,Below 1500,5,Less than $400K
129,A,Alameda,Frame,Metal,1985 and Before,4000 and Above,10,$400K to $800K
130,E,Solano,Frame,Shingle,2000 and After,4000 and Above,10,$400K to $800K
131,A,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,4,$1.2M to $1.6M
132,B,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,2,$800K to $1.2M
133,A,Sonoma,Fire Resistive,Tile,1986 to 1999,Below 1500,4,$1.6M to $2M
134,B,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,4,$800K to $1.2M
135,E,Contra Costa,Frame,Shingle,2000 and After,Below 1500,1,$1.2M to $1.6M
136,B,Santa Clara,Frame,Metal,1986 to 1999,Between 3000 and 4000,7,$800K to $1.2M
137,H,San Mateo,Frame,Wood,1986 to 1999,Between 1500 and 3000,4,$400K to $800K
138,F,San Francisco,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,9,$1.2M to $1.6M
139,E,San Francisco,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,1,$800K to $1.2M
140,E,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,8,Less than $400K
141,D,Marin,Fire Resistive,Shingle,2000 and After,Below 1500,6,Less than $400K
142,G,San Francisco,Frame,Wood,2000 and After,Below 1500,6,Less than $400K
143,F,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,9,$1.2M to $1.6M
144,C,Alameda,Frame,Shingle,2000 and After,Between 1500 and 3000,2,Less than $400K
145,I,Sonoma,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,7,Less than $400K
146,F,Alameda,Frame,Wood,1986 to 1999,Below 1500,2,$800K to $1.2M
147,F,San Francisco,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,2,$1.6M to $2M
148,F,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,3,$400K to $800K
149,B,San Mateo,Fire Resistive,Metal,2000 and After,Below 1500,6,$1.6M to $2M
150,H,San Francisco,Frame,Shingle,1985 and Before,Between 1500 and 3000,8,Less than $400K
151,I,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,10,$800K to $1.2M
152,A,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,7,$800K to $1.2M
153,C,Sonoma,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,4,$800K to $1.2M
154,D,Santa Clara,Frame,Wood,1985 and Before,Between 1500 and 3000,3,$1.6M to $2M
155,B,Santa Clara,Fire Resistive,Tile,2000 and After,Below 1500,8,$400K to $800K
156,C,Alameda,Fire Resistive,Tile,1985 and Before,Below 1500,4,$1.6M to $2M
157,A,Alameda,Frame,Shingle,1985 and Before,4000 and Above,9,$400K to $800K
158,C,San Mateo,Frame,Metal,1985 and Before,4000 and Above,2,$800K to $1.2M
159,A,San Mateo,Frame,Wood,2000 and After,Between 3000 and 4000,8,$800K to $1.2M
160,I,Contra Costa,Fire Resistive,Shingle,1986 to 1999,4000 and Above,1,$1.6M to $2M
161,H,San Francisco,Frame,Tile,1986 to 1999,Between 1500 and 3000,8,$400K to $800K
162,H,Santa Clara,Frame,Metal,2000 and After,4000 and Above,3,$800K to $1.2M
163,A,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,6,Less than $400K
164,F,Alameda,Fire Resistive,Tile,2000 and After,Below 1500,8,$400K to $800K
165,B,San Mateo,Frame,Tile,1985 and Before,Between 1500 and 3000,8,$800K to $1.2M
166,E,Alameda,Frame,Wood,1985 and Before,Between 3000 and 4000,2,$800K to $1.2M
167,J,Alameda,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,4,$800K to $1.2M
168,G,Contra Costa,Fire Resistive,Tile,2000 and After,4000 and Above,4,$1.2M to $1.6M
169,F,Contra Costa,Frame,Shingle,1986 to 1999,Below 1500,7,Less than $400K
170,H,San Mateo,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,3,Less than $400K
171,C,Contra Costa,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,7,Less than $400K
172,C,Solano,Frame,Tile,2000 and After,Between 1500 and 3000,1,$1.2M to $1.6M
173,G,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,7,$1.2M to $1.6M
174,J,Santa Clara,Frame,Metal,1985 and Before,4000 and Above,8,$400K to $800K
175,H,Marin,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,5,$1.2M to $1.6M
176,B,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,3,Less than $400K
177,D,Marin,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,6,Less than $400K
178,B,Santa Clara,Frame,Shingle,1986 to 1999,Below 1500,4,Less than $400K
179,H,San Mateo,Frame,Shingle,1985 and Before,Below 1500,3,Less than $400K
180,A,Contra Costa,Frame,Shingle,1986 to 1999,4000 and Above,6,$1.2M to $1.6M
181,A,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,2,Less than $400K
182,H,Contra Costa,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,6,$400K to $800K
183,I,San Mateo,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,1,$400K to $800K
184,F,Santa Clara,Frame,Wood,1986 to 1999,Below 1500,6,$800K to $1.2M
185,D,Contra Costa,Fire Resistive,Tile,1985 and Before,Below 1500,1,$400K to $800K
186,B,Sonoma,Fire Resistive,Tile,1986 to 1999,Below 1500,9,$800K to $1.2M
187,B,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,3,$400K to $800K
188,C,San Mateo,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,4,$1.6M to $2M
189,A,Marin,Fire Resistive,Wood,2000 and After,Below 1500,8,$800K to $1.2M
190,J,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,4,$400K to $800K
191,E,Marin,Frame,Shingle,2000 and After,Below 1500,1,$1.6M to $2M
192,A,Alameda,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,6,$1.6M to $2M
193,C,San Francisco,Fire Resistive,Tile,1985 and Before,Below 1500,1,$1.6M to $2M
194,H,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,3,$800K to $1.2M
195,B,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,1,$400K to $800K
196,J,Contra Costa,Frame,Shingle,1986 to 1999,Between 3000 and 4000,8,$1.2M to $1.6M
197,A,Santa Clara,Frame,Tile,2000 and After,Between 1500 and 3000,8,Less than $400K
198,F,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,10,$1.2M to $1.6M
199,A,Marin,Fire Resistive,Shingle,1985 and Before,Below 1500,7,$800K to $1.2M
200,J,San Francisco,Frame,Metal,1986 to 1999,Below 1500,3,$800K to $1.2M
201,E,Santa Clara,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,6,$1.2M to $1.6M
202,B,Contra Costa,Frame,Shingle,1985 and Before,Between 1500 and 3000,5,$1.6M to $2M
203,H,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,9,$400K to $800K
204,I,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,7,$1.6M to $2M
205,F,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,1,$400K to $800K
206,J,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,8,$800K to $1.2M
207,C,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,9,$1.2M to $1.6M
208,A,Sonoma,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,2,Less than $400K
209,I,Marin,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,1,$800K to $1.2M
210,J,San Mateo,Fire Resistive,Metal,1985 and Before,Below 1500,1,$400K to $800K
211,A,Santa Clara,Fire Resistive,Shingle,1985 and Before,Below 1500,3,$400K to $800K
212,F,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,6,$800K to $1.2M
213,E,Santa Clara,Frame,Metal,2000 and After,Below 1500,7,$800K to $1.2M
214,I,Contra Costa,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M
215,J,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M
216,C,Contra Costa,Fire Resistive,Shingle,2000 and After,Below 1500,3,$800K to $1.2M
217,E,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,7,Less than $400K
218,I,Santa Clara,Frame,Shingle,1986 to 1999,Between 1500 and 3000,10,$1.6M to $2M
219,F,Santa Clara,Fire Resistive,Wood,2000 and After,Below 1500,1,Less than $400K
220,J,San Mateo,Frame,Metal,2000 and After,Between 3000 and 4000,2,$1.2M to $1.6M
221,A,San Mateo,Frame,Shingle,1985 and Before,4000 and Above,9,$1.2M to $1.6M
222,A,Solano,Frame,Tile,2000 and After,4000 and Above,1,$800K to $1.2M
223,J,Sonoma,Frame,Metal,1985 and Before,Between 3000 and 4000,5,$1.2M to $1.6M
224,H,Solano,Frame,Shingle,2000 and After,Between 3000 and 4000,6,$800K to $1.2M
225,I,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,2,$1.6M to $2M
226,E,San Francisco,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,8,$400K to $800K
227,J,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,5,$1.6M to $2M
228,H,Contra Costa,Frame,Shingle,1985 and Before,4000 and Above,8,$400K to $800K
229,D,Marin,Frame,Shingle,2000 and After,4000 and Above,8,$800K to $1.2M
230,I,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,1,$400K to $800K
231,A,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,10,$400K to $800K
232,B,Alameda,Fire Resistive,Metal,1986 to 1999,Below 1500,6,$1.6M to $2M
233,E,Contra Costa,Frame,Metal,1986 to 1999,4000 and Above,5,$1.2M to $1.6M
234,A,Santa Clara,Frame,Shingle,2000 and After,Between 1500 and 3000,7,$1.2M to $1.6M
235,G,Contra Costa,Fire Resistive,Metal,2000 and After,Below 1500,2,Less than $400K
236,I,Contra Costa,Frame,Metal,1985 and Before,Between 3000 and 4000,3,$1.2M to $1.6M
237,I,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,8,$800K to $1.2M
238,J,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Below 1500,6,$1.2M to $1.6M
239,F,San Mateo,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,1,$1.6M to $2M
240,B,Contra Costa,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,7,$400K to $800K
241,F,San Francisco,Frame,Shingle,2000 and After,4000 and Above,5,$1.2M to $1.6M
242,I,San Francisco,Frame,Shingle,2000 and After,Below 1500,4,Less than $400K
243,D,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,6,$400K to $800K
244,A,Santa Clara,Frame,Shingle,1985 and Before,Between 3000 and 4000,6,$1.2M to $1.6M
245,J,Alameda,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,10,$1.2M to $1.6M
246,D,San Mateo,Frame,Tile,2000 and After,Between 1500 and 3000,6,$400K to $800K
247,H,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,2,$1.2M to $1.6M
248,D,Alameda,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,6,Less than $400K
249,J,Alameda,Non-Combustible Masonry,Wood,2000 and After,Below 1500,8,$400K to $800K
250,J,Alameda,Fire Resistive,Metal,2000 and After,4000 and Above,8,$800K to $1.2M
251,J,Sonoma,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,2,$800K to $1.2M
252,I,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,5,$1.6M to $2M
253,A,Santa Clara,Fire Resistive,Metal,1986 to 1999,Below 1500,5,Less than $400K
254,C,San Mateo,Fire Resistive,Metal,1986 to 1999,Below 1500,7,$400K to $800K
255,E,Contra Costa,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,3,$800K to $1.2M
256,F,Santa Clara,Frame,Tile,1986 to 1999,Between 1500 and 3000,9,$1.6M to $2M
257,B,Marin,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,1,$1.2M to $1.6M
258,F,Contra Costa,Frame,Wood,2000 and After,Between 1500 and 3000,8,Less than $400K
259,D,Alameda,Fire Resistive,Wood,1986 to 1999,Below 1500,8,Less than $400K
260,D,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,3,Less than $400K
261,B,Marin,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,4,$400K to $800K
262,I,Solano,Frame,Wood,2000 and After,Below 1500,10,$1.2M to $1.6M
263,B,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,6,$800K to $1.2M
264,H,San Francisco,Frame,Shingle,1986 to 1999,4000 and Above,3,$1.6M to $2M
265,C,Contra Costa,Fire Resistive,Wood,1985 and Before,4000 and Above,10,$800K to $1.2M
266,E,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,6,$1.6M to $2M
267,A,Santa Clara,Frame,Tile,1986 to 1999,Between 1500 and 3000,9,$800K to $1.2M
268,H,Alameda,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,10,Less than $400K
269,D,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,9,$1.6M to $2M
270,I,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,9,$1.6M to $2M
271,B,San Francisco,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,5,Less than $400K
272,B,San Francisco,Frame,Wood,1985 and Before,Between 1500 and 3000,1,$800K to $1.2M
273,F,Alameda,Frame,Metal,1985 and Before,Between 1500 and 3000,8,Less than $400K
274,A,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,9,$800K to $1.2M
275,J,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,7,$1.2M to $1.6M
276,I,Marin,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,2,$1.2M to $1.6M
277,J,Alameda,Fire Resistive,Metal,2000 and After,4000 and Above,2,$400K to $800K
278,C,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,5,$800K to $1.2M
279,J,Santa Clara,Frame,Shingle,2000 and After,Below 1500,6,$1.2M to $1.6M
280,E,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,9,$1.6M to $2M
281,A,San Francisco,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,1,Less than $400K
282,H,Alameda,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,10,Less than $400K
