policy_number,claim_date,claim_amount
18702,10/29/2017,487243.5047
21658,10/21/2017,486253.1675
29691,10/17/2017,485960.0231
27406,10/11/2017,485489.3079
3063,10/24/2017,485280.7163
14209,10/23/2017,483682.5648
21313,10/11/2017,482577.4924
7348,10/25/2017,482412.2598
17266,10/10/2017,480657.5496
29984,10/30/2017,480223.6062
1967,10/11/2017,478923.9218
16097,10/20/2017,478559.3277
15767,10/23/2017,478180.6028
13251,10/24/2017,477722.321
5286,10/30/2017,477566.7422
14264,10/27/2017,476480.6454
13691,10/21/2017,475209.3933
5147,10/10/2017,474877.9895
24176,10/10/2017,472858.2788
4097,10/16/2017,471944.7509
18417,10/17/2017,471925.7045
11605,10/21/2017,471364.592
27786,10/14/2017,469940.2028
4220,10/17/2017,468135.4373
1920,10/15/2017,466209.5806
10368,10/19/2017,466010.0376
2649,10/24/2017,465188.6919
23897,10/26/2017,464213.9528
28040,10/15/2017,462760.8269
29144,10/16/2017,461403.3273
21563,10/30/2017,460346.8885
28127,10/19/2017,460242.5554
20818,10/12/2017,459006.7538
3019,10/10/2017,458763.7038
26437,10/22/2017,457441.8372
25112,10/21/2017,455791.1322
25129,10/21/2017,454784.5314
2055,10/15/2017,453760.2354
15552,10/18/2017,453510.9097
29875,10/21/2017,451504.2932
29956,10/24/2017,451321.8867
12431,10/19/2017,449536.2521
17808,10/23/2017,448477.2513
8336,10/18/2017,446937.2971
26972,10/13/2017,445021.4657
1685,10/30/2017,443123.9681
27464,10/17/2017,442845.8889
17994,10/16/2017,441893.6973
21748,10/11/2017,441644.4307
22825,10/21/2017,440589.3544
764,10/18/2017,439501.345
2705,10/12/2017,438561.6909
19839,10/20/2017,433866.3675
28401,10/12/2017,432863.0422
25196,10/15/2017,432003.7249
21027,10/11/2017,430707.6521
12513,10/28/2017,430363.2122
23842,10/11/2017,429014.9605
5036,10/20/2017,428457.6843
578,10/13/2017,427924.7209
22914,10/28/2017,427687.5133
29777,10/17/2017,427486.8156
25668,10/16/2017,427450.5242
16434,10/30/2017,424883.7371
14333,10/29/2017,423355.2981
10066,10/18/2017,422605.1078
15820,10/11/2017,419988.8053
6857,10/12/2017,418495.4939
26211,10/14/2017,418049.656
11609,10/28/2017,417558.5844
9421,10/15/2017,417102.6991
17110,10/29/2017,416586.5944
18247,10/23/2017,416201.8151
23975,10/19/2017,416170.1732
14774,10/31/2017,415977.9077
7337,10/23/2017,414325.3774
18764,10/18/2017,414314.4362
28246,10/23/2017,413617.6943
23796,10/16/2017,412841.2532
26662,10/12/2017,411607.6038
8624,10/13/2017,411517.8774
7176,10/24/2017,411188.9724
7256,10/28/2017,407484.558
28295,10/23/2017,404871.8467
5617,10/30/2017,404479.5438
22491,10/14/2017,403481.5437
19791,10/28/2017,403464.8199
15942,10/31/2017,403271.5799
17931,10/23/2017,402642.6677
29555,10/25/2017,400738.5802
2623,10/12/2017,400085.9284
10656,10/17/2017,399486.8502
3412,10/25/2017,399234.1628
24316,10/16/2017,398654.8736
12955,10/19/2017,397515.9144
11124,10/20/2017,396208.4245
24537,10/24/2017,392996.1719
25488,10/11/2017,391850.099
6756,10/28/2017,391793.7394
2932,10/13/2017,391717.4414
15291,10/30/2017,390727.7108
14170,10/20/2017,389224.3478
11019,10/17/2017,388397.9489
12488,10/31/2017,388096.9564
9128,10/24/2017,387894.3134
25243,10/21/2017,387051.9995
9682,10/11/2017,385024.8836
8313,10/22/2017,384856.6255
17516,10/26/2017,384679.7246
4126,10/24/2017,383826.0562
10443,10/16/2017,383468.8802
7547,10/28/2017,381762.1922
15317,10/10/2017,381681.3286
29128,10/19/2017,381405.9035
24944,10/17/2017,381009.9669
2798,10/25/2017,374674.1554
22994,10/22/2017,373545.1122
973,10/13/2017,371417.2587
4886,10/18/2017,367775.2353
8045,10/14/2017,366874.0947
21941,10/30/2017,366038.9871
19130,10/26/2017,364088.752
4248,10/18/2017,363995.0954
15827,10/29/2017,363204.8134
12052,10/26/2017,360848.7561
28245,10/19/2017,360827.8941
8303,10/18/2017,360332.5446
14376,10/16/2017,357280.9958
5277,10/10/2017,355316.5283
8715,10/28/2017,354337.0624
1657,10/17/2017,354281.407
23523,10/28/2017,350535.4208
20387,10/23/2017,350072.7716
20500,10/14/2017,349693.3952
12408,10/24/2017,348347.8244
26733,10/28/2017,347843.8363
20198,10/24/2017,346819.7107
25905,10/14/2017,344334.793
14137,10/18/2017,342262.1615
15756,10/31/2017,340657.6444
10183,10/10/2017,339004.3854
22207,10/26/2017,338313.9982
10901,10/31/2017,337918.8524
22790,10/29/2017,337389.8136
6170,10/11/2017,336227.0899
20202,10/18/2017,335912.7939
16373,11/28/2017,335106.1639
25973,10/18/2017,334633.0808
15371,10/10/2017,332687.2356
14255,10/13/2017,332059.1669
18775,10/15/2017,330995.433
17289,10/26/2017,330686.9938
22666,10/17/2017,328383.2547
14947,10/26/2017,327088.3168
9954,10/10/2017,326303.096
29511,10/15/2017,325618.2438
15607,10/31/2017,323201.01
14203,10/22/2017,322864.3025
11300,10/15/2017,322564.8329
15989,10/13/2017,321916.6036
3759,10/24/2017,321522.4862
7096,10/30/2017,318483.177
5593,10/11/2017,316290.4974
18362,10/31/2017,314901.0207
19851,2/5/2016,312519.1401
22234,10/15/2017,311467.8791
14850,9/9/2017,311044.6187
2362,10/16/2017,309040.9331
8414,4/27/2017,308989.0496
3295,10/31/2017,308685.6331
26434,10/11/2017,307090.9025
7953,10/21/2017,305474.0262
16645,10/15/2017,305425.6724
17130,10/10/2017,304881.939
18548,10/11/2017,302926.3004
28904,10/25/2017,301288.2416
20552,10/26/2017,301205.9513
23947,10/11/2017,300833.7967
29275,10/25/2017,300480.9283
13481,10/15/2017,300364.956
9478,10/10/2017,299519.7015
9272,10/14/2017,298625.1527
29841,10/21/2017,297629.1076
476,11/4/2017,296896.071
599,3/18/2014,294479.4257
25289,3/31/2017,294438.7362
29809,11/15/2015,293060.8211
14850,11/29/2016,292416.7091
2343,10/10/2017,292362.5013
16258,10/31/2017,291354.8574
26847,4/4/2017,291185.6025
10418,8/28/2016,290161.7318
11749,6/21/2017,290050.5089
16989,1/18/2015,289697.9319
21906,1/17/2013,288818.8966
29094,9/19/2015,288680.6535
22341,10/18/2017,287872.3973
22545,3/15/2017,287514.4532
17529,7/19/2017,287385.5963
21441,8/10/2017,285887.8376
21354,10/22/2017,285286.1499
7453,4/9/2016,285117.1149
6135,1/3/2016,284792.8466
27554,12/10/2014,283707.539
25135,3/14/2017,283468.5728
17070,8/7/2017,283337.5329
22188,4/30/2017,283012.5042
29454,10/31/2017,282349.8958
21599,11/8/2016,281784.7514
909,8/15/2017,281691.6231
18967,6/24/2017,281240.3305
19,10/14/2017,281229.737
19757,1/22/2017,281080.9969
17177,8/20/2015,280362.0778
9734,7/22/2017,279464.5371
27272,2/4/2016,279187.2403
18537,6/10/2016,278803.3115
3579,3/31/2017,278378.7468
25054,7/13/2017,278154.8818
21910,10/21/2017,277441.5918
11643,8/22/2017,276631.8349
27663,4/4/2016,276550.1673
28024,10/12/2017,276504.2233
744,8/22/2017,276286.5992
9470,9/12/2014,275874.2809
25544,8/26/2017,275535.6069
2577,10/19/2017,275531.9905
15911,8/24/2017,275473.1038
18537,5/14/2017,275243.914
6244,12/24/2017,275139.9799
1639,8/21/2017,274788.9809
18363,8/29/2016,274691.1039
25853,4/30/2016,274546.4019
28552,9/24/2016,274464.7411
17395,10/6/2016,274462.609
22977,7/4/2014,274445.4607
13934,2/27/2017,274034.0447
13045,10/18/2017,273574.6061
11049,5/8/2017,273243.8916
11373,11/6/2017,273242.1891
28898,3/4/2016,273073.269
5455,8/20/2017,273042.9542
9904,10/19/2015,273000.2433
21358,5/1/2015,272712.3731
21460,12/26/2014,272258.6679
14356,10/15/2017,272020.0334
3506,10/26/2017,271881.3869
13151,12/23/2017,271764.8832
29665,12/26/2017,271683.016
28513,7/2/2017,271395.2275
5959,8/31/2013,271165.864
17710,8/18/2017,270936.5154
16838,9/26/2017,270503.0479
9470,5/26/2013,270415.5075
7670,11/10/2013,270321.8383
90,11/1/2017,270046.3968
22227,8/16/2016,269590.2879
12560,4/15/2017,269581.5251
21885,3/21/2015,269386.7017
28516,3/25/2017,269274.5039
18648,4/21/2012,269234.3144
6080,9/17/2015,268905.943
20575,10/26/2014,268845.7342
28417,10/28/2015,268014.7038
4379,9/21/2016,267846.3742
22804,10/27/2014,267822.7888
26244,1/15/2015,267778.2709
4730,7/16/2017,267778.0184
476,8/17/2014,267635.736
4518,4/14/2017,267443.668
8250,11/25/2017,267264.4118
23395,2/28/2016,267246.8675
12347,10/14/2017,266933.3019
26047,9/30/2012,266647.1505
15421,3/2/2015,266254.2675
1385,9/26/2016,266188.8307
29868,3/22/2017,266115.0305
5455,1/10/2016,266076.1527
26831,10/24/2016,266002.6532
24654,3/18/2017,265904.9431
10873,9/13/2016,265739.7032
13076,9/15/2017,265602.6053
8520,10/29/2017,265541.0331
24105,5/21/2015,265098.5326
26199,7/21/2013,264964.7972
29784,12/3/2016,264932.996
20486,8/21/2017,264799.4109
17513,9/30/2014,264794.7043
21942,1/11/2015,264588.6895
22094,2/20/2016,264476.9315
26513,7/3/2014,264292.8921
15432,8/8/2017,264194.7787
16838,12/5/2015,264011.6871
29011,4/10/2015,263995.0493
2218,2/6/2015,263908.0033
13034,3/13/2016,263819.8689
21731,5/10/2011,263718.1277
2283,3/13/2016,263693.5639
16240,8/25/2014,263664.0025
3189,8/12/2017,263605.3498
17710,2/10/2014,263358.6284
19542,5/28/2015,262944.7522
18158,12/15/2015,262926.0089
26445,3/5/2016,262845.3602
9003,1/20/2015,262637.2866
6788,6/26/2017,262613.5728
4105,12/1/2016,262277.2676
18720,11/13/2013,261882.6164
11314,10/3/2017,261651.4512
12479,11/24/2015,261609.5835
16240,5/3/2013,261372.795
6757,9/7/2014,261371.5627
29312,2/10/2016,261284.5681
27011,9/14/2015,261138.6557
13966,12/10/2017,261032.0837
16989,8/9/2014,260974.1702
24286,10/18/2017,260671.7904
17461,8/28/2017,260652.0658
21942,12/18/2013,260589.1983
12484,5/14/2015,260405.9152
25135,11/6/2013,260345.2383
25104,12/18/2015,260338.7808
14830,2/25/2015,260184.0111
8616,6/8/2011,260179.7775
17336,8/7/2014,260002.429
25949,11/27/2013,259924.2172
25222,8/15/2014,259811.7462
16066,6/23/2015,259797.1509
3665,1/3/2014,259661.561
9003,10/5/2013,259570.3016
26191,9/30/2016,259078.4387
19936,9/3/2014,259073.6749
1770,12/20/2016,258963.3414
29170,2/7/2017,258831.5394
13887,4/24/2014,258728.6576
7008,5/10/2017,258690.6336
14628,6/6/2017,258611.5597
14791,10/12/2017,258610.9093
15188,4/21/2016,258563.4697
2074,5/4/2017,258205.2646
5579,7/20/2011,258197.3522
225,12/13/2015,258110.196
12160,4/26/2017,258022.3274
3471,2/19/2014,257826.2616
5455,3/9/2015,257496.713
28345,5/23/2014,257483.5541
29011,5/8/2011,257400.2625
2479,6/3/2015,257385.0352
19494,12/16/2013,257316.7965
23395,6/16/2015,257220.8864
5579,10/6/2015,257125.6933
17048,9/13/2016,257079.4438
24045,1/24/2014,257053.9655
26190,4/17/2015,257014.6318
15846,7/8/2017,256983.413
11030,8/28/2016,256623.6344
14889,8/27/2015,256577.6956
3880,11/19/2014,256425.6549
5201,3/9/2017,256300.3769
2958,10/13/2017,256263.5343
22484,10/23/2017,256218.9677
7383,1/16/2013,256204.6748
27974,9/2/2016,256079.513
20953,9/1/2017,256053.1
14914,10/30/2017,255940.3308
16518,10/26/2017,255917.7669
8414,1/9/2014,255644.4266
18584,5/2/2016,255469.283
25490,8/15/2015,255111.099
7211,12/6/2014,255099.4436
20934,7/18/2016,255048.8289
19494,12/21/2016,254984.2463
9752,10/5/2015,254951.3583
15487,6/19/2014,254932.854
13323,9/26/2015,254906.9841
20053,1/31/2014,254759.4799
7144,10/30/2016,254629.8562
1824,8/6/2015,254325.8381
13249,7/24/2015,254265.8568
19967,12/18/2017,253980.8298
6387,5/7/2017,253896.2967
12943,10/30/2017,253866.4094
5234,7/15/2017,253839.1388
20609,9/12/2015,253795.4982
10843,5/8/2011,253467.0121
21199,4/22/2016,253391.9167
9592,12/4/2014,253327.8731
26913,6/11/2011,253275.1699
17359,4/10/2015,252898.6678
24823,10/18/2017,252858.0711
24968,10/11/2016,252813.5356
14609,1/21/2016,252796.2846
22292,10/6/2014,252328.6155
26066,9/24/2016,252229.6978
22644,2/28/2017,252201.8785
18285,2/5/2015,252195.9739
22861,6/12/2016,252186.528
20245,1/10/2014,252148.5891
7260,2/4/2017,252080.0432
3851,3/14/2013,251973.9306
15884,1/3/2017,251804.3112
12615,8/21/2016,251762.6176
6536,3/15/2015,251712.6337
5333,3/9/2016,251527.696
20061,1/16/2013,251432.1615
18873,10/12/2017,251183.5546
2744,3/22/2014,251148.2517
20575,8/1/2012,251146.196
4205,11/13/2014,251100.1442
27751,6/12/2013,251056.2307
5987,7/8/2014,251041.8145
3969,8/1/2017,251031.2046
7046,8/10/2014,251018.456
15401,7/7/2016,251015.1428
25893,2/23/2017,250998.5742
11757,10/10/2016,250566.4724
20486,3/2/2016,250353.3053
8616,4/4/2014,250325.0921
29316,2/1/2015,250284.5428
26281,8/19/2014,250231.2835
4518,5/22/2015,250213.7632
13038,9/14/2014,250168.6234
29504,7/5/2014,249922.117
23428,8/5/2015,249918.0088
17226,2/16/2017,249878.4184
1402,4/1/2013,249848.654
8658,9/28/2016,249821.8547
451,10/27/2017,249750.0929
20257,9/29/2012,249732.5716
18006,10/31/2016,249689.3453
16531,10/24/2017,249668.5757
14479,2/19/2017,249418.9672
13124,3/11/2013,249309.7071
5926,4/9/2016,249199.8752
2852,4/1/2017,248956.2302
12861,12/25/2015,248944.0116
6080,11/18/2014,248918.4924
2756,10/11/2017,248828.9592
5275,11/1/2017,248776.8517
2016,8/17/2016,248750.6299
8778,2/14/2014,248746.914
20245,11/5/2016,248621.7526
20978,1/6/2015,248468.3746
28573,9/28/2016,248465.0286
19878,10/19/2017,248360.4656
12058,1/14/2014,248275.7007
22807,6/28/2015,247957.4549
18335,5/6/2015,247913.7263
2199,6/11/2014,247833.0264
26647,8/6/2013,247671.0515
28230,4/2/2016,247629.6657
15941,1/19/2017,247366.1558
24953,10/27/2014,247302.4886
8622,10/26/2017,247086.383
992,5/24/2017,247018.7836
24519,6/30/2015,246989.3438
28953,10/17/2017,246845.6253
8839,6/11/2016,246810.3437
23789,9/2/2014,246697.4458
5333,8/7/2011,246581.0654
28113,4/28/2013,246419.0604
29481,5/9/2015,246313.6325
6719,4/4/2017,246232.5272
28553,10/31/2017,246112.6321
7640,3/26/2015,245885.9251
10852,12/17/2016,245846.7663
15951,12/24/2013,245657.9573
9717,11/18/2017,245518.0802
13757,5/18/2017,245493.0057
9208,6/17/2015,245380.2025
24632,7/17/2017,245335.1875
11236,3/19/2017,245280.7086
27324,8/16/2013,245240.4242
25199,10/15/2017,245152.6025
3648,8/25/2014,245073.0351
6611,1/19/2015,244906.7998
21358,9/6/2013,244852.1707
5822,8/3/2016,244779.5165
5291,9/9/2015,244746.9494
18612,2/16/2014,244535.3189
5283,4/6/2015,244462.1509
21706,2/28/2015,244331.477
7638,11/5/2015,244278.981
23173,11/18/2013,244278.3092
2495,10/14/2017,244200.5546
12174,6/18/2017,244037.8723
24096,10/31/2017,244036.2825
20868,3/31/2017,244030.378
22286,1/25/2017,243948.2971
17706,1/5/2014,243801.021
18714,8/26/2017,243564.1274
11422,6/13/2017,243547.5055
10915,3/16/2013,243387.8004
27748,10/29/2016,243365.8325
4025,4/10/2016,243365.5617
22926,8/30/2017,243316.9951
26190,6/26/2017,243299.9421
20703,9/15/2016,243269.3887
29842,7/2/2016,243189.2844
20819,6/11/2016,243037.8293
14306,1/1/2013,243021.5414
5985,10/25/2017,242952.2843
4367,1/9/2013,242895.6842
17599,9/15/2015,242641.3571
23250,5/30/2013,242567.4087
10382,7/18/2017,242551.1125
1760,10/2/2013,242430.9156
29021,7/29/2017,242395.5704
9249,8/12/2017,242366.6664
23753,4/3/2016,242249.338
24464,1/13/2017,242185.4121
26847,7/19/2012,242167.9961
23930,6/24/2016,242155.1742
21314,12/4/2015,242101.0455
13461,2/23/2013,242065.1519
19729,10/14/2017,242057.0667
22100,9/18/2015,241993.2807
25675,3/31/2012,241870.1006
17686,6/8/2017,241610.5962
8765,11/12/2016,241549.3227
15717,7/14/2013,241262.9892
17040,5/9/2015,241202.2795
24328,4/5/2013,241088.5753
18389,5/9/2013,241037.3439
4569,11/17/2016,241013.9163
8604,11/30/2014,240291.5589
22310,1/17/2013,240249.1878
16382,3/8/2017,240225.5369
28227,11/21/2015,240219.5869
1543,12/21/2012,240179.3365
23936,4/18/2011,240140.2823
22049,1/18/2013,240130.2364
9734,12/6/2011,240026.2861
5579,10/22/2013,239996.1538
29726,3/29/2017,239964.1015
28641,8/20/2017,239733.0078
14515,9/5/2016,239691.6386
13932,5/31/2016,239636.3047
7504,4/27/2017,239624.2298
13640,7/24/2016,239607.8869
28326,4/22/2017,239592.9946
18799,6/22/2017,239592.135
9244,10/31/2017,239548.2413
8017,5/6/2017,239538.9499
12479,12/4/2013,239393.3219
2229,11/26/2016,239368.7427
16233,4/12/2013,239301.8301
1962,3/4/2016,239263.075
19155,1/8/2014,239210.5748
29489,2/6/2016,239161.174
3122,7/14/2013,239156.2809
13127,8/1/2015,239084.9128
12932,8/19/2015,239053.8626
22310,12/25/2011,238923.287
14385,5/20/2016,238856.2893
27439,1/1/2012,238827.3745
20427,12/18/2017,238749.5992
21243,7/1/2017,238546.7703
16381,9/20/2016,238403.1457
28391,1/16/2012,238330.2749
5709,1/31/2012,238323.7017
24497,9/29/2012,238203.8511
13223,10/9/2016,238186.542
20597,9/2/2014,238185.8874
19664,11/28/2015,238117.9598
5333,2/24/2013,238092.9655
22827,2/27/2014,238063.9677
15761,6/21/2013,238021.1235
25297,6/25/2016,237918.5579
19936,8/9/2013,237811.2777
19842,5/20/2012,237786.6087
11314,12/8/2013,237677.5209
21431,4/19/2014,237658.4903
21636,7/28/2014,237618.0369
4238,7/7/2016,237579.1891
5786,3/18/2015,237577.0329
4904,2/24/2016,237527.006
13654,10/28/2017,237436.1414
9767,8/25/2015,237417.3929
29021,6/15/2014,237381.6541
20484,10/18/2017,237374.4921
22188,6/17/2014,237354.3072
13567,9/17/2014,237258.94
24597,4/21/2012,237254.3346
18586,7/29/2013,237249.3562
22255,2/9/2016,237248.4825
166,6/6/2016,237116.7933
9386,3/15/2017,237041.8046
27592,8/12/2012,236948.3889
6563,5/31/2014,236834.3666
18812,10/28/2017,236820.7233
8024,8/14/2014,236816.7545
2048,9/9/2014,236790.0558
13694,2/7/2016,236759.9218
17035,11/21/2017,236751.815
5212,4/16/2013,236736.0509
1125,1/18/2015,236486.9093
27107,6/4/2012,236404.4043
29720,3/9/2011,236201.3648
8517,10/16/2014,236114.6349
28347,6/27/2015,236105.5572
11543,3/21/2013,236059.3481
670,3/18/2012,236046.6149
18277,6/9/2017,236015.9825
4904,3/22/2015,235963.7065
18166,4/23/2015,235946.1851
21590,9/26/2015,235934.7186
16375,1/19/2013,235915.1004
25867,8/30/2017,235840.7091
3045,2/10/2012,235673.3704
24321,5/13/2014,235647.9844
15323,11/17/2012,235511.9513
13119,7/6/2017,235487.503
19125,10/1/2016,235425.6623
6975,1/21/2015,235334.8933
23910,1/14/2012,235296.0231
14413,11/29/2011,235268.8469
11109,1/13/2012,235234.0366
7504,5/7/2014,235224.6929
15761,8/2/2016,235198.5716
18720,12/7/2011,235032.4709
15089,9/21/2017,234933.0031
15435,7/22/2015,234930.8867
9174,11/17/2017,234841.9056
24739,12/25/2012,234802.3215
26287,10/10/2017,234769.0848
20553,2/15/2017,234709.2832
5998,1/19/2015,234673.6619
2048,1/11/2012,234606.8634
9208,7/6/2013,234525.7126
2637,9/18/2016,234504.0908
25095,6/7/2013,234479.5671
12050,1/25/2012,234457.659
353,6/18/2014,234395.9463
10624,12/2/2012,234373.3012
22292,4/28/2012,234318.3226
19635,2/25/2011,234267.7339
28641,1/16/2016,234151.1493
27129,10/24/2014,234150.4212
11759,2/28/2012,234058.9594
13460,2/8/2011,234025.604
18652,8/29/2012,234010.4595
27341,4/30/2014,234006.8149
19049,5/8/2016,233966.6465
15893,7/6/2012,233849.4859
25870,6/17/2012,233733.1239
28711,12/9/2014,233686.1751
18160,9/11/2013,233649.7501
28030,8/13/2013,233602.8248
20175,10/3/2016,233586.9588
7301,1/29/2015,233563.8269
1751,3/27/2016,233557.7425
12437,10/15/2017,233487.8097
24015,10/4/2012,233482.5041
5763,8/6/2017,233363.5066
26837,4/16/2013,233347.4069
4864,2/3/2017,233211.7658
12988,5/17/2017,233136.8953
27508,5/26/2016,233080.6805
27753,7/12/2016,233041.0309
18864,10/14/2017,233029.0424
7301,11/23/2013,232994.4903
29561,12/6/2015,232974.2128
5429,1/7/2015,232965.3285
29021,2/28/2013,232852.772
16324,6/28/2017,232843.6728
11482,9/16/2012,232825.3849
3241,10/1/2017,232814.4826
24600,9/15/2015,232767.2302
13346,1/8/2012,232712.1975
3495,7/21/2017,232689.3017
28186,10/1/2012,232687.3915
4255,3/4/2015,232636.9618
3360,4/17/2012,232630.287
25980,11/16/2015,232615.792
22973,3/19/2011,232588.0157
1408,10/26/2016,232582.3836
18169,9/6/2012,232561.4418
26280,11/28/2013,232508.4741
20148,10/25/2017,232459.2177
19003,3/9/2014,232437.8167
7754,5/18/2016,232372.4007
18808,8/25/2016,232083.9958
20452,6/26/2014,232082.142
7670,9/21/2011,232062.4609
847,9/6/2016,231937.5596
3648,2/18/2015,231847.2032
4076,1/2/2016,231802.8186
21431,8/4/2011,231737.0721
15923,2/18/2016,231571.0049
22020,5/11/2017,231548.6159
1419,11/1/2017,231547.8258
22220,11/8/2012,231463.6678
17343,9/22/2017,231359.1872
13814,10/29/2017,231335.1273
1400,4/24/2011,231313.659
27129,10/21/2013,231310.4984
14423,12/28/2017,231257.3468
18612,10/15/2013,231239.7279
590,3/29/2015,231232.3578
26190,7/17/2012,231228.5791
11137,7/29/2012,231209.1481
5032,2/21/2016,231205.3146
17088,7/8/2015,231068.6387
7390,1/2/2016,231064.4104
19967,2/24/2016,230974.2586
2219,10/20/2017,230951.3883
17786,12/30/2016,230848.0013
13453,10/26/2017,230827.9839
20230,1/8/2013,230800.7259
17853,8/2/2017,230739.3666
15042,7/13/2017,230676.8674
13086,12/20/2012,230591.665
12638,8/23/2015,230410.1274
16564,9/20/2016,230405.6893
10389,8/10/2015,230399.6519
3417,11/29/2015,230339.8922
9966,7/21/2014,230335.3386
12944,2/19/2014,230281.4959
4105,7/30/2015,230247.4549
20618,6/12/2011,230238.6239
29318,12/24/2015,230218.5711
16924,7/14/2017,230135.3446
9844,4/24/2016,230121.2826
24538,2/12/2017,230066.7305
29664,1/3/2017,230058.647
13608,5/23/2015,230028.1557
3429,10/25/2016,229986.445
8580,2/18/2014,229936.3443
21021,3/7/2015,229920.9326
21460,7/26/2011,229918.3628
25654,2/13/2017,229869.2044
7247,5/19/2014,229726.2066
6802,9/14/2016,229634.6956
8799,8/26/2016,229616.9983
12657,3/9/2015,229592.3307
21145,1/14/2015,229575.0256
6565,6/4/2011,229389.8575
15188,11/22/2015,229355.823
14968,11/28/2015,229246.7794
24440,4/26/2014,229165.3613
1084,10/29/2017,229152.9216
26337,11/2/2015,229143.8048
8804,3/12/2017,229078.9168
13529,11/30/2016,229011.4186
19354,9/18/2013,228928.6206
11438,1/25/2014,228775.8046
10310,12/4/2015,228772.0102
1962,2/9/2011,228748.2709
7640,3/28/2013,228741.3344
10447,2/20/2015,228720.8821
2499,9/7/2012,228678.6992
14430,12/19/2013,228628.3617
13809,5/6/2014,228561.1871
20107,2/28/2017,228462.9635
15563,10/5/2013,228394.1085
9161,4/14/2013,228368.0071
15859,9/23/2015,228322.4318
6041,10/7/2011,228286.6215
27384,1/14/2015,228263.5703
1155,5/10/2012,228205.4142
19760,8/19/2011,228163.3655
9686,4/11/2013,228148.8511
15994,1/25/2014,228124.0665
8729,11/30/2014,227942.0621
18052,1/8/2014,227779.1007
10065,11/11/2011,227768.2872
21199,4/21/2013,227731.6154
22352,10/28/2013,227712.8998
5915,5/13/2014,227626.7264
18808,12/12/2014,227562.4252
27642,10/28/2017,227450.1786
5903,3/4/2011,227410.9948
15090,5/11/2017,227403.7258
26513,2/11/2011,227346.0254
23743,9/2/2012,227341.923
4379,3/10/2011,227310.9333
24600,5/25/2016,227248.5789
6594,5/27/2017,227144.5356
16745,8/14/2011,227108.9011
24668,7/14/2016,227077.9864
25192,12/26/2013,226993.7135
28735,2/1/2011,226910.3257
23857,2/22/2014,226824.4759
29413,5/4/2016,226740.1605
12622,10/22/2011,226723.5742
15421,9/1/2011,226666.108
25649,5/13/2013,226648.8697
28569,10/2/2014,226607.8352
29634,5/26/2017,226520.9405
10476,2/12/2016,226434.1519
13809,3/24/2013,226419.4794
15156,10/25/2017,226275.8811
26078,10/5/2017,226231.5452
834,4/23/2016,226199.3097
11936,2/13/2014,226181.7791
6192,10/20/2017,226048.4105
2984,11/30/2017,226018.4591
8771,9/14/2015,226013.4678
18212,7/16/2016,225971.5673
